name,alt_name,ra,dec,bv_color,parallax
HR 1421,,216.34023,-39.90702,1.22,
HR 1422,80    Tau,180.78344,-21.87749,0.32,0.031
HR 1423,,208.77892,-37.40302,-0.23,
HR 1424,,162.00925,-5.61925,0.04,
HR 1425,,185.41218,-25.17843,1.03,
HR 1426,Del Men,293.79834,-32.90413,0.84,
HR 1427,,180.38335,-21.45232,0.17,0.053
HR 1428,81    Tau,180.8196,-21.74882,0.26,
HR 1429,,246.26789,-43.80406,1.64,
HR 143,14    Cet,114.12216,-63.10521,0.44,
HR 1430,83    Tau,182.48835,-22.96928,0.26,
HR 1431,,209.53478,-37.39298,1,
HR 1432,85    Tau,180.88022,-21.42053,0.34,
HR 1433,,252.53682,-43.37142,1.06,
HR 1434,57    Per,160.01982,-3.26701,0.38,
HR 1435,,273.64087,-40.19917,1.01,
HR 1436,,190.14583,-27.59223,0.42,
HR 1437,45    Eri,195.33562,-30.62542,1.32,-0.009
HR 1438,,209.75254,-37.13227,0.12,
HR 1439,,237.61782,-43.04356,1,
HR 144,,120.66824,-8.63589,-0.11,
HR 1440,,144.5352,11.30167,-0.03,
HR 1441,,198.62195,-32.10221,-0.14,
HR 1442,,179.34046,-19.75555,0.07,0.002
HR 1443,Del Cae,250.37173,-43.21812,-0.19,
HR 1444,86Rho Tau,182.05003,-21.66502,0.25,0.026
HR 1445,,170.77349,-12.52759,-0.06,
HR 1446,,186.77336,-24.93447,1.06,
HR 1447,,206.77774,-35.50294,1.38,
HR 1448,,190.32457,-27.08004,0.05,
HR 1449,46    Eri,202.47422,-33.54611,-0.13,
HR 145,,117.10894,-49.48942,0.52,0.02
HR 1450,,202.62431,-33.52197,1.38,
HR 1451,47    Eri,204.10378,-34.17971,1.7,0.006
HR 1452,,204.90092,-34.51562,1.47,0.01
HR 1453,50Ups1Eri,229.85849,-41.58753,0.98,0.028
HR 1454,58    Per,161.7612,-4.03198,1.22,0.016
HR 1455,,178.1449,-18.18659,,
HR 1456,Nu  Men,295.06703,-32.04706,0.35,
HR 1457,87Alp Tau,180.97189,-20.24849,1.54,0.048
HR 1458,88    Tau,186.40293,-24.12581,0.18,0.036
HR 1459,,175.46701,-15.85369,0.38,
HR 146,,121.07681,-2.49167,0.29,
HR 1460,,205.87241,-34.62981,0.11,
HR 1461,,217.54731,-38.64975,1.17,
HR 1462,,199.53286,-31.56858,-0.1,
HR 1463,48Nu  Eri,199.3117,-31.37622,-0.21,
HR 1464,52Ups2Eri,231.01236,-41.30611,0.98,-0.014
HR 1465,Alp Dor,263.83256,-41.41531,-0.1,0.018
HR 1466,2    Cam,153.0306,4.52768,0.32,0.019
HR 1467,3    Cam,153.32075,4.26096,1.07,-0.008
HR 1468,,135.05245,19.65444,0.51,0.015
HR 1469,,195.13436,-28.93889,-0.12,
HR 147,Lam2Phe,310.26683,-68.90248,0.44,
HR 1470,,172.91662,-13.19544,,0.021
HR 1471,,177.88368,-17.21659,-0.05,
HR 1472,89    Tau,181.72314,-20.11644,0.31,
HR 1473,90    Tau,184.73695,-22.24059,0.12,0.024
HR 1474,51    Eri,198.61224,-30.65767,0.28,0.034
HR 1475,,273.73613,-39.47139,1.04,
HR 1476,,231.28307,-41.06042,-0.1,
HR 1477,,174.4081,-14.14632,0.16,
