hr,alt_name,ra_ysb,dec_ysb,vmag,bv_color,parallax_ysb,ra_simbad,dec_simbad,parallax_simbad,iau_name,origin,note,source,constellation_common_name,constellation_alt_name,asterism
HR1146,24    Eri,56.1271,-1.1631,5.25,-0.1,,56.12712710951,-0.8369090337,4.6032,,,,,Eridanus,Eri,
HR1147,,56.8842,55.9225,6.1,-0.03,,56.88394956915,55.921958874839994,7.5394,,,,,,,
HR1148,Gam Cam,57.5896,71.3322,4.63,0.03,0.012,57.58962223085542,71.33226610659722,8.4446,,,,,Camelopardalis,Cam,
HR1149,20    Tau,56.4567,24.3678,3.87,-0.07,,56.45669400833333,24.36774621111111,8.51,Maia,,,,Taurus,Tau,
HR115,,7.4662,-14.8642,6.14,0.37,,7.46623753411,-13.135891089320001,23.4821,,,,,,,
HR1150,25    Eri,56.2354,-0.2967,5.55,1.42,,56.23540519661,0.2967206424,7.9863,,,,,Eridanus,Eri,
HR1151,21    Tau,56.4767,24.5547,5.76,-0.04,,56.47698521152,24.554509916180002,7.3053,Asterope,,,,Taurus,Tau,
HR1152,22    Tau,56.5121,24.5281,6.43,-0.02,,56.512084690559995,24.52789678212,7.4231,,,,,Taurus,Tau,
HR1153,29    Tau,56.4183,6.05,5.35,-0.12,,56.418512533524584,6.049996745278333,5.3099,,,,,Taurus,Tau,
HR1154,,54.125,-78.3231,6.29,1.15,,54.12559775166667,-77.67692713055555,4.34,,,,,,,
HR1155,,57.38,65.5261,4.47,1.88,0.014,57.38032311777,65.52597939514,3.3288,,,,,,,
HR1156,23    Tau,56.5817,23.9483,4.18,-0.06,,56.58155767833333,23.94835590111111,8.58,Merope,,,,Taurus,Tau,
HR1157,,56.0258,-40.6603,6.45,1.06,,56.02658159114,-39.33970798866,10.7231,,,,,,,
HR1158,,57.4029,63.2972,5.85,0.18,,57.40244132784,63.296958830129995,13.9498,,,,,,,
HR1159,,56.5396,6.8031,5.91,0.99,,56.53901528899,6.803524664909999,8.7323,,,,,,,
HR116,,7.4538,-32.1167,6.57,1.34,,7.45417529532,-31.88402020677,4.5451,,,,,,,
HR1160,,57.0762,50.7367,6.14,0.06,,57.07531084247,50.73676600177,4.0027,,,,,,,
HR1161,,57.3317,57.1181,6.46,0.06,,57.332326824599996,57.1182678893,6.1706,,,,,,,
HR1162,26Pi  Eri,56.5354,-12.1017,4.42,1.63,0.0,56.535563416749994,-11.89841151799,6.3943,,,,,Eridanus,Eri,
HR1163,,56.9692,33.6,6.57,0.08,0.005,56.96943629116,33.599871869990004,2.7922,,,,,,,
HR1164,,56.9538,32.195,6.25,0.47,,56.95424717924,32.19541422039,16.6608,,,,,,,
HR1165,25Eta Tau,56.8713,24.105,2.87,-0.09,0.008,56.871152303749994,24.105135651944448,8.09,Alcyone,,Member of the Pleiades open star cluster (M45). Alcyone (Ancient Greek: Ἀλκυόνη Alkuonē) was one of the Pleiades sisters in Greek mythology.,,Taurus,Tau,
HR1166,,57.9242,68.5075,6.32,-0.08,,57.924065138950006,68.50748617055,5.0627,,,,,,,
HR1167,,56.2108,-48.0614,6.49,1.02,,56.21034638514,-47.93870135843,6.4989,,,,,,,
HR1168,,56.1408,-54.2739,6.3,1.04,,56.141206875,-53.72597252777778,13.12,,,,,,,
HR1169,,56.3158,-47.3597,5.73,0.96,,56.316150588810004,-46.64052470054,8.3738,,,,,,,
HR117,12    Cet,7.51,-3.9572,5.72,1.56,,7.50982674913,-2.0426727961399997,5.7713,,,,,Cetus,Cet,
HR1170,,57.2842,43.9631,6.02,0.29,,57.28379069766,43.96313934535,14.6959,,,,,,,
HR1171,Sig For,56.6142,-29.3381,5.9,0.12,,56.61428481973,-28.66184216402,10.1917,,,,,Fornax,For,
HR1172,,57.0871,23.4211,5.45,-0.07,,57.08673659448,23.421248854730003,7.6909,,,,,,,
HR1173,27Tau6Eri,56.7121,-23.2497,4.23,0.42,0.059,56.71203049437417,-22.750277197025277,56.2281,,,,,Eridanus,Eri,
HR1174,30    Tau,57.0679,11.1433,5.07,-0.13,0.011,57.06777822257042,11.1432989279525,7.3071,,,,,Taurus,Tau,
HR1175,Bet Ret,56.05,-64.8069,3.85,1.13,0.042,56.04992267531208,-63.19308586792306,30.4404,,,,,Reticulum,Ret,
HR1176,,57.5187,44.9678,5.66,0.76,,57.5184381304,44.9678690666,11.1856,,,,,,,
HR1177,42    Per,57.3858,33.0914,5.11,0.07,-0.003,57.386181813259995,33.09136457352,9.2759,,,,,Perseus,Per,
HR1178,27    Tau,57.2904,24.0533,3.63,-0.09,-0.026,57.290594105,24.053416743611113,8.53,Atlas,,,,Taurus,Tau,
HR1179,,56.8338,-29.9019,6.55,0.49,,56.83323326768,-28.09827288273,26.296,,,,,,,
