hr,ra,dec,parallax
HR   430,01 30 06.1015103472,+47 00 26.181123984,9.7947 
HR   431,01 28 43.4915155992,-33 45 50.291014716,10.6959 
HR   432,01 29 52.8627068256,+18 21 20.407429656,7.1956 
HR   433,01 29 36.1356921336,-21 37 45.609971844,13.8965 
HR   434,01 30 11.1150260499,+06 08 37.758162354,9.3184 
HR   435,01 29 30.5387918592,-46 45 23.116703292,2.7625 
HR   436,01 30 22.9049716224,-26 12 28.265853852,5.9988 
HR   437,01 31 29.0081880156,+15 20 44.994632991,8.7335 
HR   438,01 32 07.5779041752,+34 47 59.867602584,3.6473 
HR   439,01 33 25.7075838384,+58 19 38.449163964,1.7207 
HR   440,01 31 15.1040942588,-49 04 21.730128530,22.7935 
HR   441,01 31 43.2543968348,-30 16 59.152435205,8.7657 
HR   442,01 33 55.8814773504,+59 13 55.394091516,16.2553 
HR   443,01 31 39.0060579096,-45 34 32.572480656,10.124 
HR   444,01 33 03.5251929120,-09 00 52.783146216,7.869 
HR   445,01 32 56.0444775768,-36 51 54.845326260,12.1811 
HR   446,01 34 16.6199766816,+37 14 13.793039412,5.1347 
HR   447,01 32 36.3671282256,-49 43 39.769658724,12.3234 
HR   448,01 33 42.8357181696,-07 01 31.238801760,33.5829 
HR   449,01 37 22.2214008672,+74 18 03.436741908,3.4721 
HR   450,01 34 49.0652038872,+18 27 37.841815476,5.9722 
HR   451,01 34 37.7786780856,-15 40 34.898673000,17.4725 
HR   452,01 35 52.5757247208,+41 04 35.107407552,8.3548 
HR   453,01 34 50.7839195472,-31 53 32.336440836,8.3017 
HR   454,01 36 27.2005869192,+48 43 22.000439676,6.339 
HR   455,01 35 46.4423338056,+14 39 41.117249808,2.6376 
HR   456,01 38 30.9179034432,+73 02 24.137576448,7.0771 
HR   457,01 35 54.7568246352,+17 26 01.825265004,15.4117 
HR   458,01 36 47.8415443907,+41 24 19.651368029,74.1940 
HR   459,01 35 58.9697335800,-15 24 00.656206380,5.3393 
HR   460,01 35 15.0231328752,-58 08 22.107868980,24.7708 
HR   461,01 38 07.5665016360,+57 58 39.475310304,2.4121 
HR   462,01 36 08.4955228656,-29 54 26.293804713,18.5287 
HR   463,01 37 05.9261854392,+12 08 30.418618956,30.3493 
HR   464,01 37 59.5580239328,+48 37 41.563066970,18.5489 
HR   465,01 38 31.8255225672,+45 23 58.935650100,7.1093 
HR   466,01 37 37.7062257504,-09 24 13.759495668,22.9702 
HR   467,01 33 39.1710859344,-78 30 17.351232264,8.3543 
HR   468,01 36 44.7892332360,-58 16 15.545996184,3.7256 
HR   469,01 39 20.9885732088,+44 23 10.229915472,12.3592 
HR   470,01 40 13.1009198256,+53 52 05.799499104,4.043 
HR   471,01 38 27.4839019872,-36 31 41.700679932,9.7498 
HR   472,01 37 42.84548,-57 14 12.3101,23.39 
HR   473,01 38 51.7885512672,-21 16 31.385508240,13.8981 
HR   474,01 38 49.9946730360,-25 01 19.909274808,4.0524 
HR   475,01 39 40.8183464136,+16 24 21.078490104,8.6602 
HR   476,01 40 39.6574577184,+43 17 51.612331380,11.7559 
HR   477,01 40 34.8164511,+40 34 37.374230,4.58 
HR   478,01 42 20.5269432072,+68 02 34.890489276,7.696 
HR   479,01 38 48.5509525656,-53 26 20.044278708,8.8206 
HR   480,01 42 55.8632768160,+70 37 21.092102580,11.1166 
HR   481,01 42 02.9108207472,+61 02 17.656928916,2.8094 
HR   482,01 42 17.7014309256,+58 37 39.852082632,2.2799 
HR   483,01 41 47.1268541099,+42 36 48.221567818,68.0244 
HR   484,01 41 18.3757041552,+25 44 44.565663300,17.7158 
HR   485,01 41 39.2366594568,+30 02 49.632274932,5.7393 
HR   486,01 39 47.8126958280,-56 11 35.944312380,122.1088 
HR   487,01 39 47.5647128524,-56 11 47.213189871,122.0035 
HR   488,01 42 58.3202573904,+61 25 15.863948112,2.4172 
HR   489,01 41 25.8939097,+05 29 15.406225,8.98 
HR   490,01 42 03.4896429408,+35 14 44.538913968,11.1882 
HR   491,01 43 19.7566701600,+60 33 04.796911692,3.5725 
HR   492,01 41 44.83264,-11 19 28.8186,25.35 
HR   493,01 42 29.7625251280,+20 16 06.645657710,130.8234 
HR   494,01 41 27.3215779152,-38 07 58.175958648,23.7614 
HR   495,01 43 16.5039312816,+45 19 21.537082092,18.0939 
HR   496,01 43 39.6379209,+50 41 19.432832,4.54 
HR   497,01 42 08.6293373664,-32 19 37.155166068,15.9813 
HR   498,01 42 02.9938168848,-36 49 56.293515984,10.5668 
HR   499,01 44 17.9683324176,+57 32 11.772821004,14.4416 
HR   500,01 42 43.5115527552,-03 41 24.718341768,3.0983 
HR   501,01 41 41.2033475952,-50 02 19.082050188,7.4399 
HR   502,01 44 46.1712782592,+57 05 21.236612388,6.5331 
HR   503,01 43 50.1428360616,+32 11 31.258820868,7.7347 
HR   504,01 44 26.5266628800,+46 08 22.892710560,5.4445 
HR   505,01 41 47.9680812504,-60 47 21.614765568,8.1375 
HR   506,01 42 29.3145176952,-53 44 26.991453264,57.6409 
HR   507,01 43 54.7960892472,-04 45 55.851578964,3.6857 
HR   508,01 44 55.8255136824,+20 04 59.336892804,30.1535 
HR   509,01 44 04.0831371922,-15 56 14.927607677,273.8097 
HR   510,01 45 23.6252151720,+09 09 27.902640312,12.5296 
HR   511,01 47 44.8344358038,+63 51 09.011001993,99.5902 
HR   512,01 37 55.5566913096,-82 58 29.986653720,37.0128 
HR   513,01 45 59.2598412672,-05 43 59.878345764,5.5554 
HR   514,01 45 38.7571221,-25 03 09.402256,35.57 
HR   515,01 46 35.2985514024,+17 24 45.712452780,6.4827 
HR   516,01 41 21.4635303720,-79 08 53.500728768,8.6602 
HR   517,01 46 01.0580461824,-27 20 55.792093776,22.2759 
HR   518,01 47 48.0144682200,+46 13 47.095939740,18.4995 
HR   519,01 46 05.9653808568,-50 48 58.516077564,4.73 
HR   520,01 46 06.2629998768,-53 31 19.328527488,16.0575 
HR   521,01 48 38.9251714008,+37 57 10.332882900,8.6049 
HR   522,01 48 10.9236879288,+16 57 19.857503880,12.0473 
HR   523,01 48 41.5626898078,+32 41 24.752122242,36.0886 
HR   524,01 47 16.7033906184,-41 45 35.725383216,5.2171 
HR   525,01 37 28.0364927424,-84 46 10.620964632,8.6392 
HR   526,01 49 15.54296,+47 53 48.9227,7.84 
HR   527,01 48 26.0194155048,+03 41 07.618785792,8.8309 
HR   528,01 47 47.7684519072,-37 09 34.141807944,6.5788 
HR   529,01 50 57.1281289032,+51 56 00.303705744,22.7021 
HR   530,01 50 08.56984,+22 16 31.2100,5.57 
HR   531,01 49 35.1027660619,-10 41 11.070999501,42.5848 
HR   532,01 49 19.4209051512,-31 04 20.861586768,7.0374 
HR   533,01 51 59.3200840608,+55 08 50.583693732,2.6944 
HR   534,01 50 51.9726096936,+11 02 36.161996280,24.0374 
HR   535,01 49 48.8611954992,-38 24 10.184311152,39.7193 
HR   536,01 52 09.3723086736,+50 47 34.054111608,6.8219 
HR   537,01 50 20.1816024384,-47 48 59.006356704,6.8587 
HR   538,01 52 50.7254346336,+51 28 29.411926788,6.6834 
HR   539,01 51 27.6313482264,-10 20 06.111838644,12.877 
HR   540,01 53 48.5145386064,+55 35 51.498505428,13.514 
HR   541,01 50 54.4352128992,-50 12 22.092503544,12.8122 
HR   542,01 54 23.7340861680,+63 40 12.360238788,7.0037 
HR   543,01 53 17.3443278240,+40 43 47.245514592,4.4983 
HR   544,01 53 04.9054187154,+29 34 43.747211027,51.3310 
HR   545,01 53 31.8192032943,+19 17 45.430793660,18.8809 
HR   546,01 53 31.8129284424,+19 17 37.879979172,19.6268 
HR   547,01 52 52.1128452936,-16 55 45.302269584,9.868 
HR   548,01 56 00.0283006680,+68 41 06.863913852,4.4802 
HR   549,01 53 33.3369902664,+03 11 15.117021888,16.6641 
HR   550,01 47 46.4468545656,-80 10 34.711618836,15.817 
HR   551,01 54 53.7802455161,+40 42 07.191909121,7.0092 
HR   552,01 54 57.6611872960,+37 07 41.866841554,5.4677 
HR   553,01 54 38.41099,+20 48 28.9133,55.60 
HR   554,01 53 23.1726086160,-38 35 40.673979852,9.4821 
HR   555,01 53 38.7393120868,-46 18 09.609378142,9.7499 
HR   556,01 55 54.4807023840,+37 16 40.045649772,2.8026 
HR   557,01 56 09.3646485360,+37 15 06.598615716,9.9608 
HR   558,01 54 22.0319152104,-42 29 48.942141036,10.185 
HR   559,01 55 51.0384466152,+23 34 38.335528668,6.1023 
HR   560,01 55 53.82941,+01 50 59.8991,25.07 
HR   561,01 58 33.2351547624,+61 41 52.045134828,4.0983 
HR   562,01 57 56.3658881952,+41 41 40.421037192,2.0648 
HR   563,01 57 21.0547626,+17 49 03.120244,6.27 
HR   564,01 57 43.7441690352,+27 48 15.757926948,6.1432 
HR   565,01 56 40.2026205216,-22 31 36.424867800,7.329 
HR   566,01 55 57.4597664541,-51 36 31.959325912,56.8508 
HR   567,01 59 38.0376593064,+64 37 17.760134928,12.6852 
HR   568,01 58 33.5059620456,+49 12 15.670560312,12.694 
HR   569,01 57 55.7167412144,+23 35 45.826018541,24.7748 
HR   570,01 54 56.1314447592,-67 38 50.291415024,14.7444 
HR   571,01 55 46.4820217368,-60 51 39.506894100,20.6479 
HR   572,02 02 57.0305237760,+77 54 58.544956980,3.3039 
HR   573,01 56 59.9847437632,-51 45 58.485059294,37.4508 
HR   574,01 57 10.0796141472,-47 23 07.007133372,15.0311 
HR   575,02 01 57.45035,+70 54 25.2902,28.36 
HR   576,01 58 26.6800805208,-33 04 00.456752208,7.8506 
HR   577,01 59 35.6835529416,+21 03 30.847826340,9.3842 
HR   578,01 59 25.8834229992,+12 17 41.569121544,10.4648 
HR   579,02 03 10.4502571800,+73 51 02.050475724,8.7893 
HR   580,02 03 26.1084399681,+72 25 16.658815952,20.8391 
HR   581,02 05 07.4242273,+77 16 52.824198,30.16 
HR   582,02 00 09.1595515021,+03 05 49.250440047,31.4492 
HR   583,01 59 46.2000016440,-20 49 28.338863052,4.7635 
HR   584,01 57 53.3243813328,-65 25 28.837721640,5.9924 
HR   585,02 00 00.3084712060,-21 04 40.194010210,10.2726 
HR   586,02 02 52.4758999152,+64 54 05.270442264,12.0776 
HR   587,02 00 26.8227063,-08 31 25.944968,6.85 
HR   588,01 59 38.8150621128,-42 01 49.916493588,11.0072 
HR   589,02 03 00.1876117560,+64 23 24.064866924,1.077 
HR   590,02 02 18.1084057296,+54 29 15.145135980,4.0763 
HR   591,01 58 46.1385834212,-61 34 11.359751511,51.5547 
HR   592,02 05 31.5501321720,+76 06 54.216449424,7.7763 
HR   593,01 55 50.5489866816,-78 20 54.766224420,24.5111 
HR   594,02 01 14.7228666120,-30 00 06.589273248,11.2737 
HR   595,02 02 02.702254,+02 45 49.72064,~ 
HR   596,02 02 02.8219762236,+02 45 49.579059841,19.7995 
HR   597,02 09 25.3094513232,+81 17 45.397679388,14.2384 
HR   598,02 04 39.9318123264,+65 06 12.604819176,9.6686 
HR   599,02 02 57.9558287256,+33 17 02.882756760,9.1053 
HR   600,01 59 41.1276247920,-66 03 59.611133556,7.1633 
HR   601,02 02 35.0770111680,+13 28 36.195228084,4.6547 
HR   602,02 01 42.3763488264,-44 42 48.626334576,8.5414 
HR   603,02 03 53.95229,+42 19 47.0223,8.30 
HR   604,02 03 54.7580291496,+42 19 51.281119488,12.0724 
HR   605,02 03 39.34547,+25 56 07.7129,20.53 
HR   606,02 02 28.2645164112,-29 39 56.314202148,6.7614 
HR   607,02 03 11.6503068984,+00 07 42.629435904,10.7315 
HR   608,02 02 58.5696126264,-15 18 21.348597708,7.0475 
HR   609,02 03 42.6105136968,+18 15 11.719262304,4.3401 
HR   610,02 03 48.1635791160,-00 20 24.873842976,9.6577 
HR   611,02 03 40.4889439392,-04 06 12.653704296,6.0683 
HR   612,02 04 29.4386071,-29 17 48.547752,8.79 
HR   613,02 06 33.9249723484,+22 38 53.947593963,18.0292 
HR   614,02 06 12.2633009304,+08 14 53.200142808,3.4797 
HR   615,02 06 49.2348973344,+25 42 16.402681728,3.9534 
HR   616,02 06 29.3093426424,+00 02 07.237717980,5.1839 
HR   617,02 07 10.40570,+23 27 44.7032,49.56 
HR   618,02 08 40.5790963584,+58 25 24.970714608,0.3841 
HR   619,02 08 33.5596902840,+44 27 33.946698168,7.1023 
HR   620,02 08 29.2611176620,+37 51 32.706475762,17.2479 
HR   621,02 10 07.7505345864,+53 50 35.131482816,6.6461 
HR   622,02 09 32.62712,+34 59 14.2694,25.71 
HR   623,02 09 25.3249845242,+25 56 23.416316591,18.9736 
HR   624,02 09 23.1123399528,+17 13 27.118919964,27.5324 
HR   625,02 08 45.6606376848,-17 46 44.963878044,3.769 
HR   626,02 13 21.1460485104,+74 01 39.794160756,7.815 
HR   627,02 11 29.1934233120,+57 38 43.964680956,0.5243 
HR   628,02 10 52.8244847376,+39 02 22.353796176,7.4763 
HR   629,02 10 53.6566024296,+39 02 35.914230528,7.4108 
HR   630,02 09 34.8014931768,-24 20 44.828466396,14.9257 
HR   631,02 10 37.5968885640,+19 30 01.212127560,4.8855 
HR   632,02 09 09.2923630368,-43 30 59.742871920,5.9057 
HR   633,02 11 12.0548644944,+25 56 12.992153964,6.394 
HR   634,02 11 25.0229609256,+31 31 35.021784396,8.5017 
HR   635,02 11 21.0787585632,+08 34 11.305868808,23.7901 
HR   636,02 10 04.8109402296,-43 48 56.068648524,7.7344 
HR   637,02 10 25.9181700303,-50 49 25.465181208,92.9251 
HR   638,02 11 22.2261677208,-10 03 07.779274956,19.9768 
HR   639,02 11 35.8349680056,-01 49 31.536924240,8.6173 
HR   640,02 14 29.0885565480,+66 31 27.984251136,3.0547 
HR   641,02 13 41.6105031504,+58 33 38.107279260,0.3967 
HR   642,02 12 22.28003,+30 18 11.0430,11.22 
HR   643,02 13 13.3221992348,+44 13 53.927938133,5.2634 
HR   644,02 12 37.5398224584,+24 10 04.010957292,5.7748 
HR   645,02 13 36.3431564393,+51 03 56.807950671,18.1422 
HR   646,02 12 48.0856782200,+21 12 39.577562642,33.3383 
HR   647,02 14 02.45880,+47 29 03.2496,25.26 
HR   648,02 13 03.3041812296,+15 16 47.507088540,5.5659 
HR   649,02 13 00.0003185160,+08 50 48.128462340,10.4184 
HR   650,02 12 47.5413483242,-02 23 37.066624087,26.5381 
HR   651,02 13 00.9875390448,-21 00 00.484993512,8.7399 
HR   652,02 12 54.4699976208,-30 43 25.773757068,10.2162 
HR   653,02 15 57.7330336368,+47 48 42.982818120,7.4865 
HR   654,02 16 51.7162480872,+57 03 18.882144756,0.429 
HR   655,02 15 56.2876024128,+33 21 32.032213884,9.0683 
HR   656,02 15 46.0497447336,+25 46 58.578118716,24.352 
HR   657,02 15 42.77662,+25 02 34.9627,19.58 
HR   658,02 15 28.3109874216,-09 27 59.497762932,5.0415 
HR   659,02 14 31.9450100712,-41 10 00.346250820,9.265 
HR   660,02 17 03.2303387763,+34 13 27.235383770,91.6504 
HR   661,02 17 59.8872270144,+57 53 59.356756392,7.8978 
HR   662,02 18 04.5845635872,+57 30 58.759401204,4.1956 
HR   663,02 17 32.9612209924,+44 18 17.757276489,2.2125 
HR   664,02 17 18.8670335,+33 50 49.895049,29.04 
HR   665,02 17 10.4400107760,+23 46 04.190343312,7.1092 
HR   666,02 16 59.0434344864,-06 25 19.621420896,10.0463 
HR   667,02 14 14.5408258488,-67 50 29.184613764,4.5668 
HR   668,02 20 12.8387208768,+64 20 13.065495288,7.2398 
HR   669,02 18 07.5306114672,+19 54 04.167392328,7.222 
HR   670,02 19 16.7969275675,+47 22 47.913234056,11.9531 
HR   671,02 19 10.8243650664,+46 28 20.141072220,7.2162 
HR   672,02 18 01.4433164917,+01 45 28.123488501,44.5963 
HR   673,02 19 22.6777319784,+48 57 19.657981440,16.6002 
HR   674,02 16 30.5856318,-51 30 43.795513,21.22 
HR   675,02 18 56.9935465392,+28 38 33.632245068,8.9971 
HR   676,02 18 57.9372540888,+23 10 04.079432244,10.6485 
HR   677,02 19 37.2796688448,+39 50 05.798899932,4.3769 
HR   678,02 15 28.6257355872,-67 44 46.907950128,6.5974 
HR   679,02 20 41.5159199880,+47 18 38.885371596,2.9698 
HR   680,02 20 04.4591231256,+30 11 17.117689020,5.0861 
HR   681,02 19 20.79210,-02 58 39.4956,10.91 
HR   682,02 20 58.2015432888,+50 09 05.385224196,8.5275 
HR   683,02 18 58.5047816166,-25 56 44.473793228,77.9140 
HR   684,02 19 40.7768823216,-04 20 44.057308956,8.4116 
HR   685,02 22 21.4343107056,+55 50 44.350353276,0.7852 
HR   686,02 19 24.7670611176,-41 50 54.126258936,5.8818 
HR   687,02 22 50.3034199104,+41 23 46.657521456,20.6905 
HR   688,02 19 54.2715460944,-55 56 41.269170048,5.4667 
HR   689,02 21 56.6276398416,+00 23 44.420597916,3.8443 
HR   690,02 23 51.7443704208,+55 21 53.502677352,0.9318 
HR   691,02 22 12.3954850848,-00 53 05.473534776,12.8171 
HR   692,02 22 01.5317023656,-10 46 39.127612368,33.5081 
HR   693,02 22 04.9825705680,-17 39 43.815117960,7.7705 
HR   694,02 24 24.9159941400,+50 00 23.555997036,8.0682 
HR   695,02 22 32.5904688744,-23 49 00.479863128,42.9117 
HR   696,02 25 16.0283450208,+56 36 35.354429280,0.4424 
HR   697,02 22 57.6278222472,-18 21 17.939697840,8.2028 
HR   698,02 22 11.7487792776,-43 11 59.314159428,7.8126 
HR   699,02 25 37.4229761208,+50 16 43.063334724,7.6317 
HR   700,02 23 06.5976134472,-37 34 34.110135300,3.1036 
HR   701,02 22 54.6750661920,-51 05 31.659759744,16.1769 
HR   702,02 24 49.0576351080,+10 36 38.011140288,4.2483 
HR   703,02 24 20.1163638696,-25 50 50.861451984,5.3617 
HR   704,02 24 58.3888612344,-02 46 48.101665764,4.7875 
HR   705,02 21 44.9423652192,-68 39 33.906922488,23.2796 
HR   706,02 24 33.8828460792,-40 50 25.648168992,31.1823 
HR   707,02 29 03.94780,+67 24 08.9170,24.55 
HR   708,02 25 57.0058454304,-12 17 25.707504156,5.8054 
HR   709,02 27 51.7780802040,+50 34 11.906854392,18.4347 
HR   710,02 26 00.3479612520,-15 20 28.495226652,12.603 
HR   711,02 27 07.2379436472,+27 00 44.617159980,6.8827 
HR   712,02 27 27.7711821096,+31 48 04.605648228,11.624 
HR   713,02 26 35.2172447880,-20 02 33.421097076,11.2536 
HR   714,02 24 53.9099798448,-60 18 43.013000412,20.9433 
HR   715,02 22 52.3092955680,-73 38 44.852762652,9.2133 
HR   716,02 29 24.96030,+55 32 10.3360,6.14 
HR   717,02 28 09.9798701064,+29 40 09.585503796,20.4105 
HR   718,02 28 09.5570589539,+08 27 36.216809306,16.5681 
HR   719,02 27 59.92608,+01 57 39.0182,6.00 
HR   720,02 28 48.4944856357,+29 55 54.328558216,31.7031 
HR   721,02 26 59.1217747,-47 42 13.824757,6.42 
HR   722,02 25 26.4540522648,-66 29 38.495313888,4.4497 
HR   723,02 29 13.6822351464,+23 28 08.491382868,11.6961 
HR   724,02 28 01.7031974304,-33 48 39.742346664,20.9663 
HR   725,02 29 35.3582534112,+09 33 56.259391212,10.692 
HR   726,02 30 16.6066961429,+33 50 01.399346951,7.8768 
HR   727,02 28 35.4330784248,-31 06 08.812525068,8.3337 
HR   728,02 30 32.3533307604,+25 14 06.102857207,18.3024 
HR   729,02 30 38.4171330360,+19 51 19.092084984,14.0324 
HR   730,02 29 55.3544076312,-22 40 59.503953468,10.0755 
HR   731,02 30 54.3979231272,+17 42 13.890810240,11.4272 
HR   732,02 30 45.2032450872,+00 15 20.706778080,11.5937 
HR   733,02 30 13.7246065824,-25 11 11.190836544,10.8796 
HR   734,02 28 04.3855232616,-64 17 59.164350036,7.9139 
HR   735,02 30 32.7936318696,-22 32 43.146094452,4.9365 
HR   736,02 32 06.1697711376,+36 08 50.181275364,7.5319 
HR   737,02 31 30.0954126240,+02 16 01.858512468,7.5015 
HR   738,02 32 52.6196598346,+34 32 32.581459846,12.1221 
HR   739,02 32 09.4224095904,-01 02 05.616571164,12.1717 
HR   740,02 32 05.2288409,-15 14 40.827782,37.46 
HR   741,02 32 54.1419032736,+15 02 04.328074788,34.1525 
HR   742,02 32 14.7590199552,-36 25 38.233291080,7.2258 
HR   743,02 38 02.0331728856,+72 49 05.710593144,12.1338 
HR   744,02 33 07.0259045640,-34 38 59.881994808,8.5123 
HR   745,02 33 40.2234366216,-20 00 06.914274948,8.4453 
HR   746,02 35 27.9012972072,+39 39 51.766294680,5.6636 
HR   747,02 37 36.0690716208,+65 44 43.209496752,4.4786 
HR   748,02 35 38.7410842536,+37 18 44.132728860,4.0929 
HR   749,02 33 50.7014978880,-28 13 56.415570096,6.7146 
HR   750,02 35 46.8212623656,+34 41 15.179698284,4.8075 
HR   751,02 35 04.1337564576,+07 28 15.563536860,8.7851 
HR   752,02 34 42.6236444496,-07 51 34.002610596,6.5487 
HR   753,02 36 04.9013368983,+06 53 12.383654295,138.3400 
HR   754,02 35 52.4740495740,+05 35 35.664001770,8.0904 
HR   755,02 33 54.6040971024,-51 05 36.774818304,14.6199 
HR   756,02 36 57.1893902395,+38 44 00.915326924,18.3499 
HR   757,02 36 43.0319742072,+31 36 27.600851880,9.043 
HR   758,02 37 02.3403028152,+34 15 51.341675184,2.4334 
HR   759,02 36 00.0478570968,-07 49 53.745797496,6.0024 
HR   760,02 37 20.8404309792,+39 53 45.957893172,3.9248 
HR   761,02 37 06.5693832624,+32 53 27.922933860,20.2087 
HR   762,02 33 33.5896147344,-62 35 12.131808756,3.8219 
HR   763,02 36 37.9189326576,+12 26 51.474379704,28.9026 
HR   764,02 36 57.7454168256,+24 38 53.000422908,22.5107 
HR   765,02 37 00.5234711568,+24 38 49.990480872,22.2608 
HR   766,02 36 35.0699755272,+07 43 48.100486710,11.6563 
HR   767,02 36 09.2647944264,-30 02 41.921973528,5.0717 
HR   768,02 38 17.8307695464,+37 43 36.168026340,12.575 
HR   769,02 38 27.9557175768,+38 05 20.910306300,4.9208 
HR   770,02 38 00.7506586368,+07 41 43.002221388,14.1051 
HR   771,02 37 41.8020809760,-03 23 46.225928328,9.5199 
HR   772,02 36 58.6077493776,-34 34 40.711246464,39.2946 
HR   773,02 38 48.9924474480,+21 57 41.047395876,12.0933 
HR   774,02 47 47.7257592048,+81 26 54.505744152,6.6082 
HR   775,02 38 36.8028553392,+03 26 35.526188220,7.5374 
HR   776,02 31 40.5230532192,-79 06 33.897895704,11.3671 
HR   777,02 38 18.6613767600,-30 11 38.630657868,28.4867 
HR   778,02 37 24.3486279936,-52 32 35.192050404,25.207 
HR   779,02 39 28.95579,+00 19 42.6345,5.02 
HR   780,02 38 24.8352281208,-37 59 25.962942444,17.9102 
HR   781,02 39 33.7974128402,-11 52 19.551632148,42.4864 
HR   782,02 40 41.0760313152,+27 03 39.396775500,12.6464 
HR   783,02 40 15.6917904576,+06 06 43.020205848,25.4832 
HR   784,02 40 12.4210104672,-09 27 10.335330216,45.916 
HR   785,02 43 02.8380253536,+55 06 21.666195864,7.7748 
HR   786,02 40 02.4706573560,-30 38 01.263772140,6.5321 
HR   787,02 42 59.5232301744,+53 31 33.986370504,10.1045 
HR   788,02 42 14.9145674304,+40 11 38.221732500,41.7962 
HR   789,02 39 47.9753006640,-42 53 30.519103344,22.5636 
HR   790,02 41 13.99720,-00 41 44.3845,44.27 
HR   791,02 44 49.6970326656,+67 49 28.672325868,7.7928 
HR   792,02 43 01.8568506264,+48 15 54.878632596,1.8212 
HR   793,02 42 21.9357953640,+20 00 41.275791648,7.5702 
HR   794,02 40 40.0348498136,-39 51 19.355490088,22.2853 
HR   795,02 41 48.3272388408,-03 12 49.691471328,3.8508 
HR   796,02 41 34.1146209720,-14 32 57.505105968,21.3035 
HR   797,02 42 28.9370887128,+10 44 30.224220144,8.0381 
HR   798,02 39 31.7269875648,-64 16 54.180378948,5.7885 
HR   799,02 44 11.9866154103,+49 13 42.414669174,89.6850 
HR   800,02 44 05.1600277584,+44 17 49.341411348,2.3511 
