hr,ra,dec,parallax
HR   329,01 07 46.2087548376,-09 47 07.982452284,21.3225 
HR   330,01 08 22.2134340672,+05 38 59.462502070,28.9357 
HR   331,01 07 47.8233278592,-41 29 12.635288484,14.4232 
HR   332,01 07 18.6643221624,-61 46 31.038310848,10.6658 
HR   333,01 12 16.8163183464,+79 40 26.269579776,12.2953 
HR   334,01 08 35.3913324413,-10 10 56.151936084,27.0603 
HR   335,01 09 30.12562,+47 14 30.4594,4.55 
HR   336,01 10 39.3224064744,+68 46 43.041646164,10.6799 
HR   337,01 09 43.92388,+35 37 14.0075,16.52 
HR   338,01 08 23.0805843521,-55 14 44.736015873,11.2080 
HR   339,01 09 49.2008972448,+19 39 30.264861132,7.8074 
HR   340,01 10 18.7404097416,+42 04 53.309986932,18.8145 
HR   341,01 10 19.4501521344,+25 27 27.943770168,7.9296 
HR   342,01 11 25.5710702328,+64 12 09.640350540,8.0202 
HR   343,01 11 06.1620929203,+55 08 59.638991981,23.8844 
HR   344,01 10 11.4416369160,+15 40 26.078129148,4.8883 
HR   345,01 11 41.4024150336,+65 01 07.873790052,8.0823 
HR   346,01 10 11.9457318744,-08 54 22.084762140,7.2782 
HR   347,01 10 33.5530414848,+02 26 44.427624072,4.1948 
HR   348,01 11 10.2771397296,+37 43 26.848030224,4.9479 
HR   349,01 11 06.7633183392,+31 25 29.025651108,3.8814 
HR   350,01 10 07.3730005176,-57 41 39.802474032,6.939 
HR   351,01 11 27.2187720,+21 02 04.740561,8.50 
HR   352,01 11 39.6171666936,+30 05 22.696564992,18.9653 
HR   353,01 11 43.5081366480,-02 15 03.880880496,5.6213 
HR   354,01 13 09.8620122924,+61 42 22.264692375,5.3093 
HR   355,01 12 34.0828717560,+45 20 15.105857928,3.5214 
HR   356,01 12 59.4746333664,+30 03 51.220174464,8.4782 
HR   357,01 16 30.8807762664,+79 54 36.065614284,14.1016 
HR   358,01 12 23.3179250712,-30 48 07.658490996,12.706 
HR   359,01 12 45.4324795320,-37 51 23.319628308,14.559 
HR   360,01 13 44.9460564960,+24 35 01.311416628,8.1806 
HR   361,01 13 43.8860023656,+07 34 31.295774820,24.4595 
HR   362,01 13 45.2546962176,+07 34 41.680306272,24.6896 
HR   363,01 14 04.9051442688,+28 31 46.448476788,3.3467 
HR   364,01 14 07.6281618312,+16 08 00.514454568,7.6775 
HR   365,01 16 11.9019176448,+71 44 37.825280484,1.3148 
HR   366,01 14 24.0406960100,-07 55 22.172965574,41.5747 
HR   367,01 14 42.3919601904,+06 59 42.497437560,7.1266 
HR   368,01 14 49.1725004760,-00 58 25.659970248,23.5394 
HR   369,01 16 24.4925354568,+48 04 56.108195580,2.938 
HR   370,01 15 11.1214282378,-45 31 53.992580679,65.5270 
HR   371,01 16 18.9222373488,+33 06 52.989205140,9.3487 
HR   372,01 17 05.0645837232,+44 54 07.171409160,4.0384 
HR   373,01 16 36.2879453688,-02 30 01.328624496,13.3622 
HR   374,01 17 24.1119665256,+31 44 40.626984624,10.7265 
HR   375,01 20 19.3980702384,+77 34 14.468264616,7.611 
HR   376,01 18 10.1484160728,+47 25 10.941500244,2.1459 
HR   377,01 15 46.16226,-68 52 33.3356,47.72 
HR   378,01 17 47.9564553482,+03 36 52.088733702,13.1721 
HR   379,01 18 47.0097321408,+37 23 10.603428540,7.1623 
HR   380,01 17 03.75791,-66 23 52.2787,10.61 
HR   381,01 21 59.1027707952,+76 14 19.709062188,12.5861 
HR   382,01 20 04.9164665856,+58 13 53.807643876,0.2142 
HR   383,01 19 27.9936531058,+27 15 50.611158841,10.1502 
HR   384,01 21 05.2662699864,+64 39 29.274825816,12.7846 
HR   385,01 19 48.29589,-00 30 32.5134,9.93 
HR   386,01 23 46.8016857216,+78 43 33.808282104,0.6847 
HR   387,01 20 34.5720064776,-03 14 49.169525208,7.8761 
HR   388,01 20 27.8079194160,-11 14 20.387907420,8.8422 
HR   389,01 21 07.3730171112,+28 44 17.545909668,7.7431 
HR   390,01 22 20.4200755704,+45 31 43.596248844,14.6042 
HR   391,01 23 21.41971,+58 08 34.7787,17.00 
HR   392,01 22 36.9533894880,+01 43 34.798237140,3.6483 
HR   393,01 22 34.8296904648,-00 26 58.824372840,7.1565 
HR   394,01 22 30.48171,-19 04 52.3407,16.26 
HR   395,01 23 40.6162821408,+37 42 53.799369336,15.7619 
HR   396,01 23 37.4712559656,+34 14 45.114766152,18.0574 
HR   397,01 23 24.9489304224,+20 28 08.286362112,2.8345 
HR   398,01 25 46.3312721616,+70 58 47.636685372,5.77 
HR   399,01 25 56.0231935514,+68 07 48.049669752,16.2403 
HR   400,01 23 30.9578857464,-30 56 44.219130684,4.3654 
HR   401,01 24 02.5388041128,-08 00 26.692716708,15.0874 
HR   402,01 24 01.4032816333,-08 10 59.739230440,29.0339 
HR   403,01 25 48.9514709,+60 14 07.022507,32.81 
HR   404,01 24 20.5021369,-06 54 52.773474,21.44 
HR   405,01 24 39.9353721384,-15 39 37.676436768,7.8718 
HR   406,01 24 48.6810131808,-02 50 54.923347716,13.4912 
HR   407,01 25 35.6770156104,+23 30 41.460068844,13.8537 
HR   408,01 24 40.7865339576,-41 29 33.164287944,12.4333 
HR   409,01 26 18.6862929120,+43 27 27.869935680,23.4377 
HR   410,01 26 08.7863698584,+34 34 46.931774304,26.2036 
HR   411,01 24 41.9141955096,-44 31 42.875504976,4.8636 
HR   412,01 25 37.2394436400,-14 35 55.626569448,11.3726 
HR   413,01 26 15.2623962744,+19 10 20.450614692,38.8391 
HR   414,01 26 41.6791537272,+19 14 25.526087052,10.8298 
HR   415,01 27 06.3287202600,+34 22 39.189763812,23.7807 
HR   416,01 26 27.3469188696,-00 23 56.516227080,4.9025 
HR   417,01 27 39.3807155195,+45 24 24.065127426,34.7332 
HR   418,01 27 26.6728869648,+41 06 04.177819368,18.7624 
HR   419,01 26 53.5527243720,+03 32 08.335219524,5.3545 
HR   420,01 25 05.3065787016,-64 22 10.113833640,3.4638 
HR   421,01 26 51.5647682880,-13 03 23.439954456,28.232 
HR   422,01 27 46.8883203000,+40 20 08.894774832,2.5609 
HR   423,01 26 58.0939182720,-32 32 35.439234828,2.5437 
HR   424,02 31 49.09456,+89 15 50.7923,7.54 
HR   425,01 27 46.54236,-10 54 05.6977,8.46 
HR   426,01 28 22.9157619816,+07 57 40.878936036,8.4739 
HR   427,01 31 13.7567170296,+70 15 52.559375868,36.2634 
HR   428,01 30 52.1197615896,+66 05 53.118376224,10.5102 
HR   429,01 28 21.9286848650,-43 19 05.645061018,13.3612 
