name,alt_name,ra,dec,parallax
HR 1530,Kap Dor,269.44222,-39.05164,0.024
HR 1531,,290.57576,-33.35426,
HR 1532,58    Eri,215.36376,-34.8051,0.079
HR 1533,,166.30084,-4.56849,0.025
HR 1534,,194.39304,-25.12515,
HR 1535,,157.77876,2.79096,
HR 1536,,203.39598,-29.82425,0.038
HR 1537,96    Tau,183.60069,-17.96908,
HR 1538,59    Eri,214.78301,-34.37179,
HR 1539,Zet Cae,231.00894,-38.6012,
HR 154,29Pi  And,119.46953,-29.05447,-0.003
HR 1540,,273.75446,-38.11684,
HR 1541,Mu  Men,282.96955,-35.83438,
HR 1542,9Alp Cam,144.06546,14.04244,-0.002
HR 1543,1Pi 3Ori,191.45188,-23.06477,0.125
HR 1544,2Pi 2Ori,189.82252,-21.82857,0.036
HR 1545,,212.07666,-33.11985,
HR 1546,,154.79648,5.63108,
HR 1547,97    Tau,181.37674,-15.90877,0.022
HR 1548,,248.98971,-40.07424,
HR 1549,60    Eri,214.83745,-33.96233,0.023
HR 155,53    Psc,117.69851,-47.49113,
HR 1550,,162.71368,-0.89911,
HR 1551,2    Aur,167.25537,-4.64698,
HR 1552,3Pi 4Ori,192.8905,-23.52218,0.001
HR 1553,,189.03283,-20.99811,
HR 1554,,174.20457,-10.13206,
HR 1555,5    Cam,153.06984,7.35806,
HR 1556,4Omi1Ori,185.42791,-18.38975,0.004
HR 1557,,245.543,-39.65932,
HR 1558,,161.80709,0.32205,
HR 1559,,237.34274,-38.73923,
HR 156,,118.73894,-38.74095,
HR 1560,61Ome Eri,203.7484,-28.77846,0.013
HR 1561,,155.05413,5.99732,
HR 1562,5    Ori,196.07866,-24.71297,0.01
HR 1563,Iot Pic,261.27404,-39.22244,
HR 1564,Iot Pic,261.27146,-39.21991,
HR 1565,,197.04162,-25.08326,
HR 1566,,181.36433,-14.84204,
